,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,montorio al vomano,90.0,IT,1545594900,93.0,42.58,13.64,51.8,3.36
1,albany,90.0,US,1545594960,55.0,42.65,-73.75,33.98,8.05
2,puerto ayora,40.0,EC,1545595200,62.0,-0.74,-90.35,86.0,17.22
3,contamana,24.0,PE,1545597956,52.0,-7.35,-75.01,88.53,6.29
4,rikitea,64.0,PF,1545597956,98.0,-23.12,-134.97,78.85,19.93
5,alamosa,1.0,US,1545597300,25.0,37.47,-105.87,30.56,6.93
6,hermanus,0.0,ZA,1545597956,98.0,-34.42,19.24,58.11,2.71
7,arraial do cabo,0.0,BR,1545595200,78.0,-22.97,-42.02,84.2,11.41
8,rawson,0.0,AR,1545597956,21.0,-43.3,-65.11,90.01,8.75
9,sao miguel do araguaia,36.0,BR,1545597956,65.0,-13.28,-50.16,86.28,4.05
10,katherine,90.0,AU,1545595200,74.0,-14.47,132.26,82.4,1.12
11,ribeira grande,75.0,PT,1545595200,76.0,38.52,-28.7,57.2,3.36
12,wajima,36.0,JP,1545597957,100.0,37.4,136.9,43.44,17.4
13,cape town,0.0,ZA,1545595200,82.0,-33.93,18.42,68.0,12.75
14,atuona,92.0,PF,1545597957,100.0,-9.8,-139.03,81.06,18.07
15,hobart,0.0,AU,1545597000,55.0,-42.88,147.33,60.8,17.22
16,chokurdakh,68.0,RU,1545597957,54.0,70.62,147.9,-31.4,3.2
17,naryan-mar,12.0,RU,1545597958,78.0,67.67,53.09,-0.49,18.63
18,airai,88.0,TL,1545597958,96.0,-8.93,125.41,70.75,1.59
19,sistranda,75.0,NO,1545596400,100.0,63.73,8.83,32.0,5.82
20,ushuaia,90.0,AR,1545595200,87.0,-54.81,-68.31,48.2,9.17
21,praia,40.0,BR,1545595200,83.0,-20.25,-43.81,73.4,2.24
22,kapaa,20.0,US,1545594960,73.0,22.08,-159.32,80.06,17.22
23,castro,40.0,CL,1545595200,60.0,-42.48,-73.76,68.0,10.29
25,fortuna,0.0,ES,1545595200,87.0,38.18,-1.13,50.0,3.36
26,beaupre,20.0,CA,1545595200,67.0,47.04,-70.9,21.2,12.75
28,geraldton,75.0,CA,1545595200,77.0,49.72,-86.95,5.0,6.93
29,qaanaaq,64.0,GL,1545597961,91.0,77.48,-69.36,-4.9,5.28
30,samarai,64.0,PG,1545597961,100.0,-10.62,150.67,83.04,6.33
31,new norfolk,0.0,AU,1545597000,55.0,-42.78,147.06,60.8,17.22
32,colares,0.0,PT,1545595200,87.0,38.8,-9.45,51.8,8.05
35,aviles,0.0,ES,1545595200,81.0,43.55,-5.92,51.8,2.24
36,ulladulla,0.0,AU,1545595200,87.0,-35.36,150.48,57.2,5.82
37,burkburnett,1.0,US,1545596100,53.0,34.1,-98.57,51.26,6.93
38,vaini,36.0,IN,1545597962,64.0,15.34,74.49,73.95,4.5
39,luderitz,0.0,NA,1545597709,71.0,-26.65,15.16,62.79,16.35
40,pevek,0.0,RU,1545597962,100.0,69.7,170.27,-31.4,6.33
41,katsuura,40.0,JP,1545595200,66.0,33.93,134.5,50.0,13.87
42,bonthe,0.0,SL,1545597963,63.0,7.53,-12.5,83.49,5.61
43,fare,80.0,PF,1545597963,97.0,-16.7,-151.02,83.49,14.61
44,kem,0.0,UG,1545597963,70.0,2.68,33.77,69.76,6.51
45,bluff,0.0,AU,1545597963,67.0,-23.58,149.07,68.41,14.61
46,lebu,44.0,ET,1545597963,89.0,8.96,38.73,41.91,2.98
48,kodiak,1.0,US,1545596100,14.0,39.95,-94.76,46.94,10.29
49,salinopolis,88.0,BR,1545597964,98.0,-0.61,-47.36,80.97,9.31
50,lorengau,44.0,PG,1545597964,100.0,-2.02,147.27,81.51,6.06
51,yar-sale,0.0,RU,1545597964,95.0,66.83,70.83,-15.61,21.09
52,mataura,0.0,NZ,1545597964,78.0,-46.19,168.86,60.0,4.09
53,jamestown,0.0,AU,1545597757,49.0,-33.21,138.6,60.99,5.39
54,norman wells,75.0,CA,1545595200,83.0,65.28,-126.83,-13.01,2.24
55,letlhakeng,76.0,BW,1545597965,78.0,-24.1,25.03,72.42,3.71
56,georgetown,75.0,GY,1545595200,69.0,6.8,-58.16,84.2,11.41
57,nuuk,92.0,GL,1545594600,93.0,64.17,-51.74,37.4,47.2
59,khatanga,88.0,RU,1545597965,69.0,71.98,102.47,-9.8,21.05
60,port macquarie,88.0,AU,1545595200,77.0,-31.43,152.91,60.8,6.93
61,ostrovnoy,32.0,RU,1545597966,86.0,68.05,39.51,13.29,16.06
62,port alfred,20.0,ZA,1545597966,87.0,-33.59,26.89,73.05,5.06
63,yerbogachen,20.0,RU,1545597966,56.0,61.28,108.01,-32.57,2.98
64,avarua,75.0,CK,1545595200,79.0,-21.21,-159.78,84.2,9.17
65,nikolskoye,75.0,RU,1545597000,85.0,59.7,30.79,24.8,8.95
66,meadow lake,90.0,CA,1545595200,92.0,54.13,-108.44,6.8,5.82
67,dibulla,0.0,CO,1545595200,41.0,11.27,-73.31,91.4,19.46
68,northport,75.0,US,1545594960,50.0,33.23,-87.58,68.0,12.75
69,port elizabeth,1.0,US,1545594960,51.0,39.31,-74.98,48.38,10.29
71,eirunepe,68.0,BR,1545597967,79.0,-6.66,-69.87,81.69,2.48
72,busselton,20.0,AU,1545597967,100.0,-33.64,115.35,63.42,14.94
73,alvdal,36.0,NO,1545596400,85.0,62.11,10.63,23.0,2.24
74,gobabis,8.0,NA,1545597967,54.0,-22.45,18.97,72.6,5.88
75,wamba,20.0,CD,1545597968,83.0,2.14,27.99,67.78,2.19
76,deputatskiy,24.0,RU,1545597968,0.0,69.3,139.9,-43.6,3.71
77,hilo,90.0,US,1545594780,64.0,19.71,-155.08,75.92,9.17
78,thompson,75.0,CA,1545595200,70.0,55.74,-97.86,-4.01,2.24
79,torbay,90.0,CA,1545595200,93.0,47.66,-52.73,37.4,17.22
80,barlinek,75.0,PL,1545597000,93.0,53.0,15.22,37.4,4.7
81,tortosa,8.0,ES,1545596400,93.0,40.81,0.52,46.4,3.71
82,severo-kurilsk,68.0,RU,1545597969,100.0,50.68,156.12,24.58,6.85
83,kahului,40.0,US,1545594960,64.0,20.89,-156.47,80.06,17.22
85,oksfjord,75.0,NO,1545596400,100.0,70.24,22.35,32.0,17.22
86,punta arenas,75.0,CL,1545595200,58.0,-53.16,-70.91,59.0,23.04
87,bose,90.0,IT,1545596400,100.0,45.46,8.01,44.6,3.36
88,kangaatsiaq,92.0,GL,1545597969,100.0,68.31,-53.46,19.86,19.08
